Date_x,month_year,OMR_bin,Sac.cfs,SJR.cfs,Sub.group
1921-12-01,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-02,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-03,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-04,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-05,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-06,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-07,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-08,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-09,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-10,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-11,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-12,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-13,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-14,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-15,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-16,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-17,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-18,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-19,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-20,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-21,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-22,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-23,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-24,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-25,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-26,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-27,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-28,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-29,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-30,1921-12,99999,20319.41016,4420.887207,medhi
1921-12-31,1921-12,99999,20319.41016,4420.887207,medhi
1922-01-01,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-02,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-03,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-04,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-05,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-06,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-07,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-08,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-09,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-10,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-11,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-12,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-13,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-14,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-15,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-16,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-17,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-18,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-19,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-20,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-21,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-22,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-23,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-24,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-25,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-26,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-27,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-28,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-29,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-30,1922-01,99999,21213.53516,3347.811279,medmed
1922-01-31,1922-01,99999,21213.53516,3347.811279,medmed
1922-02-01,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-02,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-03,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-04,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-05,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-06,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-07,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-08,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-09,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-10,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-11,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-12,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-13,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-14,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-15,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-16,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-17,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-18,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-19,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-20,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-21,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-22,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-23,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-24,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-25,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-26,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-27,1922-02,-5000,44296.04688,11872.17773,hihi
1922-02-28,1922-02,-5000,44296.04688,11872.17773,hihi
1922-03-01,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-02,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-03,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-04,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-05,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-06,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-07,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-08,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-09,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-10,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-11,1922-03,99999,40397.57422,8752.043945,hihi
1922-03-12,1922-03,99999,40397.57422,8752.043945,hihi
